            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.98079
                   0                   0                   0            -1.98079
                   1           0.0317333           0.0317279             -1.9813
                   2           0.0634665           0.0634239            -1.98281
                   3           0.0951998            0.095056            -1.98532
                   4            0.126933            0.126592            -1.98884
                   5            0.158666            0.158001            -1.99335
                   6              0.1904            0.189251            -1.99886
                   7            0.222133            0.220311            -2.00536
                   8            0.253866            0.251148            -2.01284
                   9            0.285599            0.281733             -2.0213
                  10            0.317333            0.312033            -2.03072
                  11            0.349066             0.34202             -2.0411
                  12            0.380799            0.371662            -2.05242
                  13            0.412532            0.400931            -2.06468
                  14            0.444266            0.429795            -2.07787
                  15            0.475999            0.458227            -2.09196
                  16            0.507732            0.486197            -2.10694
                  17            0.539465            0.513677            -2.12281
                  18            0.571199            0.540641            -2.13954
                  19            0.602932             0.56706            -2.15712
                  20            0.634665            0.592908            -2.17552
                  21            0.666398            0.618159            -2.19474
                  22            0.698132            0.642788            -2.21475
                  23            0.729865            0.666769            -2.23553
                  24            0.761598            0.690079            -2.25706
                  25            0.793331            0.712694            -2.27932
                  26            0.825065            0.734592            -2.30228
                  27            0.856798             0.75575            -2.32593
                  28            0.888531            0.776146            -2.35024
                  29            0.920265            0.795762            -2.37518
                  30            0.951998            0.814576            -2.40074
                  31            0.983731             0.83257            -2.42687
                  32             1.01546            0.849725            -2.45357
                  33              1.0472            0.866025            -2.48079
                  34             1.07893            0.881453            -2.50852
                  35             1.11066            0.895994            -2.53673
                  36              1.1424            0.909632            -2.56538
                  37             1.17413            0.922354            -2.59445
                  38             1.20586            0.934148            -2.62391
                  39              1.2376            0.945001            -2.65372
                  40             1.26933            0.954902            -2.68387
                  41             1.30106            0.963842            -2.71432
                  42              1.3328            0.971812            -2.74503
                  43             1.36453            0.978802            -2.77599
                  44             1.39626            0.984808            -2.80714
                  45               1.428            0.989821            -2.83848
                  46             1.45973            0.993838            -2.86995
                  47             1.49146            0.996855            -2.90154
                  48              1.5232            0.998867            -2.93321
                  49             1.55493            0.999874            -2.96493
                  50             1.58666            0.999874            -2.99666
                  51              1.6184            0.998867            -3.02837
                  52             1.65013            0.996855            -3.06004
                  53             1.68186            0.993838            -3.09163
                  54              1.7136            0.989821            -3.12311
                  55             1.74533            0.984808            -3.15444
                  56             1.77706            0.978802             -3.1856
                  57              1.8088            0.971812            -3.21655
                  58             1.84053            0.963842            -3.24727
                  59             1.87226            0.954902            -3.27771
                  60               1.904            0.945001            -3.30786
                  61             1.93573            0.934148            -3.33768
                  62             1.96746            0.922354            -3.36714
                  63              1.9992            0.909632            -3.39621
                  64             2.03093            0.895994            -3.42486
                  65             2.06266            0.881453            -3.45306
                  66              2.0944            0.866025            -3.48079
                  67             2.12613            0.849725            -3.50802
                  68             2.15786             0.83257            -3.53471
                  69             2.18959            0.814576            -3.56085
                  70             2.22133            0.795762             -3.5864
                  71             2.25306            0.776146            -3.61135
                  72             2.28479             0.75575            -3.63565
                  73             2.31653            0.734592             -3.6593
                  74             2.34826            0.712694            -3.68227
                  75             2.37999            0.690079            -3.70453
                  76             2.41173            0.666769            -3.72606
                  77             2.44346            0.642788            -3.74684
                  78             2.47519            0.618159            -3.76685
                  79             2.50693            0.592908            -3.78606
                  80             2.53866             0.56706            -3.80447
                  81             2.57039            0.540641            -3.82205
                  82             2.60213            0.513677            -3.83878
                  83             2.63386            0.486197            -3.85464
                  84             2.66559            0.458227            -3.86963
                  85             2.69733            0.429795            -3.88372
                  86             2.72906            0.400931             -3.8969
                  87             2.76079            0.371662            -3.90916
                  88             2.79253             0.34202            -3.92049
                  89             2.82426            0.312033            -3.93086
                  90             2.85599            0.281733            -3.94029
                  91             2.88773            0.251148            -3.94874
                  92             2.91946            0.220311            -3.95622
                  93             2.95119            0.189251            -3.96272
                  94             2.98293            0.158001            -3.96823
                  95             3.01466            0.126592            -3.97275
                  96             3.04639            0.095056            -3.97626
                  97             3.07813           0.0634239            -3.97878
                  98             3.10986           0.0317279            -3.98029
                  99             3.14159                   0            -3.98079
