            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.83085
                   0                   0                   0             3.83085
                   1           0.0317333           0.0317279             3.83035
                   2           0.0634665           0.0634239             3.82884
                   3           0.0951998            0.095056             3.82633
                   4            0.126933            0.126592             3.82281
                   5            0.158666            0.158001             3.81829
                   6              0.1904            0.189251             3.81278
                   7            0.222133            0.220311             3.80628
                   8            0.253866            0.251148              3.7988
                   9            0.285599            0.281733             3.79035
                  10            0.317333            0.312033             3.78093
                  11            0.349066             0.34202             3.77055
                  12            0.380799            0.371662             3.75922
                  13            0.412532            0.400931             3.74696
                  14            0.444266            0.429795             3.73378
                  15            0.475999            0.458227             3.71969
                  16            0.507732            0.486197              3.7047
                  17            0.539465            0.513677             3.68884
                  18            0.571199            0.540641             3.67211
                  19            0.602932             0.56706             3.65453
                  20            0.634665            0.592908             3.63612
                  21            0.666398            0.618159             3.61691
                  22            0.698132            0.642788              3.5969
                  23            0.729865            0.666769             3.57612
                  24            0.761598            0.690079             3.55459
                  25            0.793331            0.712694             3.53233
                  26            0.825065            0.734592             3.50936
                  27            0.856798             0.75575             3.48572
                  28            0.888531            0.776146             3.46141
                  29            0.920265            0.795762             3.43646
                  30            0.951998            0.814576             3.41091
                  31            0.983731             0.83257             3.38477
                  32             1.01546            0.849725             3.35808
                  33              1.0472            0.866025             3.33085
                  34             1.07893            0.881453             3.30313
                  35             1.11066            0.895994             3.27492
                  36              1.1424            0.909632             3.24627
                  37             1.17413            0.922354              3.2172
                  38             1.20586            0.934148             3.18774
                  39              1.2376            0.945001             3.15792
                  40             1.26933            0.954902             3.12777
                  41             1.30106            0.963842             3.09733
                  42              1.3328            0.971812             3.06661
                  43             1.36453            0.978802             3.03566
                  44             1.39626            0.984808              3.0045
                  45               1.428            0.989821             2.97317
                  46             1.45973            0.993838             2.94169
                  47             1.49146            0.996855              2.9101
                  48              1.5232            0.998867             2.87844
                  49             1.55493            0.999874             2.84672
                  50             1.58666            0.999874             2.81499
                  51              1.6184            0.998867             2.78327
                  52             1.65013            0.996855              2.7516
                  53             1.68186            0.993838             2.72002
                  54              1.7136            0.989821             2.68854
                  55             1.74533            0.984808             2.65721
                  56             1.77706            0.978802             2.62605
                  57              1.8088            0.971812              2.5951
                  58             1.84053            0.963842             2.56438
                  59             1.87226            0.954902             2.53393
                  60               1.904            0.945001             2.50379
                  61             1.93573            0.934148             2.47397
                  62             1.96746            0.922354             2.44451
                  63              1.9992            0.909632             2.41544
                  64             2.03093            0.895994             2.38679
                  65             2.06266            0.881453             2.35858
                  66              2.0944            0.866025             2.33085
                  67             2.12613            0.849725             2.30363
                  68             2.15786             0.83257             2.27693
                  69             2.18959            0.814576              2.2508
                  70             2.22133            0.795762             2.22524
                  71             2.25306            0.776146              2.2003
                  72             2.28479             0.75575             2.17599
                  73             2.31653            0.734592             2.15234
                  74             2.34826            0.712694             2.12938
                  75             2.37999            0.690079             2.10712
                  76             2.41173            0.666769             2.08559
                  77             2.44346            0.642788             2.06481
                  78             2.47519            0.618159              2.0448
                  79             2.50693            0.592908             2.02558
                  80             2.53866             0.56706             2.00718
                  81             2.57039            0.540641              1.9896
                  82             2.60213            0.513677             1.97287
                  83             2.63386            0.486197             1.95701
                  84             2.66559            0.458227             1.94202
                  85             2.69733            0.429795             1.92793
                  86             2.72906            0.400931             1.91475
                  87             2.76079            0.371662             1.90249
                  88             2.79253             0.34202             1.89116
                  89             2.82426            0.312033             1.88078
                  90             2.85599            0.281733             1.87136
                  91             2.88773            0.251148             1.86291
                  92             2.91946            0.220311             1.85542
                  93             2.95119            0.189251             1.84893
                  94             2.98293            0.158001             1.84342
                  95             3.01466            0.126592              1.8389
                  96             3.04639            0.095056             1.83538
                  97             3.07813           0.0634239             1.83287
                  98             3.10986           0.0317279             1.83136
                  99             3.14159                   0             1.83085
