            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.30033
                   0                   0                   0             3.30033
                   1           0.0317333           0.0317279             3.29983
                   2           0.0634665           0.0634239             3.29832
                   3           0.0951998            0.095056              3.2958
                   4            0.126933            0.126592             3.29229
                   5            0.158666            0.158001             3.28777
                   6              0.1904            0.189251             3.28226
                   7            0.222133            0.220311             3.27576
                   8            0.253866            0.251148             3.26828
                   9            0.285599            0.281733             3.25983
                  10            0.317333            0.312033              3.2504
                  11            0.349066             0.34202             3.24003
                  12            0.380799            0.371662              3.2287
                  13            0.412532            0.400931             3.21644
                  14            0.444266            0.429795             3.20326
                  15            0.475999            0.458227             3.18917
                  16            0.507732            0.486197             3.17418
                  17            0.539465            0.513677             3.15832
                  18            0.571199            0.540641             3.14159
                  19            0.602932             0.56706             3.12401
                  20            0.634665            0.592908              3.1056
                  21            0.666398            0.618159             3.08639
                  22            0.698132            0.642788             3.06638
                  23            0.729865            0.666769              3.0456
                  24            0.761598            0.690079             3.02407
                  25            0.793331            0.712694             3.00181
                  26            0.825065            0.734592             2.97884
                  27            0.856798             0.75575             2.95519
                  28            0.888531            0.776146             2.93089
                  29            0.920265            0.795762             2.90594
                  30            0.951998            0.814576             2.88039
                  31            0.983731             0.83257             2.85425
                  32             1.01546            0.849725             2.82756
                  33              1.0472            0.866025             2.80033
                  34             1.07893            0.881453              2.7726
                  35             1.11066            0.895994              2.7444
                  36              1.1424            0.909632             2.71575
                  37             1.17413            0.922354             2.68668
                  38             1.20586            0.934148             2.65722
                  39              1.2376            0.945001              2.6274
                  40             1.26933            0.954902             2.59725
                  41             1.30106            0.963842             2.56681
                  42              1.3328            0.971812             2.53609
                  43             1.36453            0.978802             2.50514
                  44             1.39626            0.984808             2.47398
                  45               1.428            0.989821             2.44265
                  46             1.45973            0.993838             2.41117
                  47             1.49146            0.996855             2.37958
                  48              1.5232            0.998867             2.34791
                  49             1.55493            0.999874              2.3162
                  50             1.58666            0.999874             2.28447
                  51              1.6184            0.998867             2.25275
                  52             1.65013            0.996855             2.22108
                  53             1.68186            0.993838             2.18949
                  54              1.7136            0.989821             2.15802
                  55             1.74533            0.984808             2.12668
                  56             1.77706            0.978802             2.09553
                  57              1.8088            0.971812             2.06457
                  58             1.84053            0.963842             2.03386
                  59             1.87226            0.954902             2.00341
                  60               1.904            0.945001             1.97327
                  61             1.93573            0.934148             1.94345
                  62             1.96746            0.922354             1.91399
                  63              1.9992            0.909632             1.88492
                  64             2.03093            0.895994             1.85627
                  65             2.06266            0.881453             1.82806
                  66              2.0944            0.866025             1.80033
                  67             2.12613            0.849725             1.77311
                  68             2.15786             0.83257             1.74641
                  69             2.18959            0.814576             1.72028
                  70             2.22133            0.795762             1.69472
                  71             2.25306            0.776146             1.66978
                  72             2.28479             0.75575             1.64547
                  73             2.31653            0.734592             1.62182
                  74             2.34826            0.712694             1.59886
                  75             2.37999            0.690079              1.5766
                  76             2.41173            0.666769             1.55507
                  77             2.44346            0.642788             1.53429
                  78             2.47519            0.618159             1.51428
                  79             2.50693            0.592908             1.49506
                  80             2.53866             0.56706             1.47666
                  81             2.57039            0.540641             1.45908
                  82             2.60213            0.513677             1.44235
                  83             2.63386            0.486197             1.42648
                  84             2.66559            0.458227              1.4115
                  85             2.69733            0.429795             1.39741
                  86             2.72906            0.400931             1.38422
                  87             2.76079            0.371662             1.37197
                  88             2.79253             0.34202             1.36064
                  89             2.82426            0.312033             1.35026
                  90             2.85599            0.281733             1.34084
                  91             2.88773            0.251148             1.33238
                  92             2.91946            0.220311              1.3249
                  93             2.95119            0.189251              1.3184
                  94             2.98293            0.158001             1.31289
                  95             3.01466            0.126592             1.30838
                  96             3.04639            0.095056             1.30486
                  97             3.07813           0.0634239             1.30235
                  98             3.10986           0.0317279             1.30084
                  99             3.14159                   0             1.30033
