            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.05328
                   0                   0                   0             3.05328
                   1           0.0317333           0.0317279             3.05278
                   2           0.0634665           0.0634239             3.05127
                   3           0.0951998            0.095056             3.04875
                   4            0.126933            0.126592             3.04524
                   5            0.158666            0.158001             3.04072
                   6              0.1904            0.189251             3.03521
                   7            0.222133            0.220311             3.02871
                   8            0.253866            0.251148             3.02123
                   9            0.285599            0.281733             3.01277
                  10            0.317333            0.312033             3.00335
                  11            0.349066             0.34202             2.99297
                  12            0.380799            0.371662             2.98165
                  13            0.412532            0.400931             2.96939
                  14            0.444266            0.429795             2.95621
                  15            0.475999            0.458227             2.94212
                  16            0.507732            0.486197             2.92713
                  17            0.539465            0.513677             2.91126
                  18            0.571199            0.540641             2.89453
                  19            0.602932             0.56706             2.87696
                  20            0.634665            0.592908             2.85855
                  21            0.666398            0.618159             2.83933
                  22            0.698132            0.642788             2.81932
                  23            0.729865            0.666769             2.79854
                  24            0.761598            0.690079             2.77701
                  25            0.793331            0.712694             2.75476
                  26            0.825065            0.734592             2.73179
                  27            0.856798             0.75575             2.70814
                  28            0.888531            0.776146             2.68383
                  29            0.920265            0.795762             2.65889
                  30            0.951998            0.814576             2.63334
                  31            0.983731             0.83257              2.6072
                  32             1.01546            0.849725             2.58051
                  33              1.0472            0.866025             2.55328
                  34             1.07893            0.881453             2.52555
                  35             1.11066            0.895994             2.49735
                  36              1.1424            0.909632              2.4687
                  37             1.17413            0.922354             2.43963
                  38             1.20586            0.934148             2.41017
                  39              1.2376            0.945001             2.38035
                  40             1.26933            0.954902              2.3502
                  41             1.30106            0.963842             2.31975
                  42              1.3328            0.971812             2.28904
                  43             1.36453            0.978802             2.25809
                  44             1.39626            0.984808             2.22693
                  45               1.428            0.989821              2.1956
                  46             1.45973            0.993838             2.16412
                  47             1.49146            0.996855             2.13253
                  48              1.5232            0.998867             2.10086
                  49             1.55493            0.999874             2.06915
                  50             1.58666            0.999874             2.03741
                  51              1.6184            0.998867              2.0057
                  52             1.65013            0.996855             1.97403
                  53             1.68186            0.993838             1.94244
                  54              1.7136            0.989821             1.91097
                  55             1.74533            0.984808             1.87963
                  56             1.77706            0.978802             1.84847
                  57              1.8088            0.971812             1.81752
                  58             1.84053            0.963842             1.78681
                  59             1.87226            0.954902             1.75636
                  60               1.904            0.945001             1.72621
                  61             1.93573            0.934148             1.69639
                  62             1.96746            0.922354             1.66694
                  63              1.9992            0.909632             1.63787
                  64             2.03093            0.895994             1.60921
                  65             2.06266            0.881453             1.58101
                  66              2.0944            0.866025             1.55328
                  67             2.12613            0.849725             1.52605
                  68             2.15786             0.83257             1.49936
                  69             2.18959            0.814576             1.47322
                  70             2.22133            0.795762             1.44767
                  71             2.25306            0.776146             1.42273
                  72             2.28479             0.75575             1.39842
                  73             2.31653            0.734592             1.37477
                  74             2.34826            0.712694             1.35181
                  75             2.37999            0.690079             1.32955
                  76             2.41173            0.666769             1.30802
                  77             2.44346            0.642788             1.28724
                  78             2.47519            0.618159             1.26723
                  79             2.50693            0.592908             1.24801
                  80             2.53866             0.56706              1.2296
                  81             2.57039            0.540641             1.21203
                  82             2.60213            0.513677              1.1953
                  83             2.63386            0.486197             1.17943
                  84             2.66559            0.458227             1.16444
                  85             2.69733            0.429795             1.15035
                  86             2.72906            0.400931             1.13717
                  87             2.76079            0.371662             1.12491
                  88             2.79253             0.34202             1.11359
                  89             2.82426            0.312033             1.10321
                  90             2.85599            0.281733             1.09379
                  91             2.88773            0.251148             1.08533
                  92             2.91946            0.220311             1.07785
                  93             2.95119            0.189251             1.07135
                  94             2.98293            0.158001             1.06584
                  95             3.01466            0.126592             1.06133
                  96             3.04639            0.095056             1.05781
                  97             3.07813           0.0634239             1.05529
                  98             3.10986           0.0317279             1.05378
                  99             3.14159                   0             1.05328
