            Interval               Theta              Radial            Vertical
                   0                   0                   0           0.0118119
                   0                   0                   0           0.0118119
                   1           0.0317333           0.0317279           0.0113085
                   2           0.0634665           0.0634239          0.00979862
                   3           0.0951998            0.095056          0.00728386
                   4            0.126933            0.126592          0.00376676
                   5            0.158666            0.158001        -0.000749169
                   6              0.1904            0.189251         -0.00625936
                   7            0.222133            0.220311          -0.0127583
                   8            0.253866            0.251148          -0.0202394
                   9            0.285599            0.281733          -0.0286951
                  10            0.317333            0.312033          -0.0381169
                  11            0.349066             0.34202          -0.0484954
                  12            0.380799            0.371662          -0.0598201
                  13            0.412532            0.400931          -0.0720796
                  14            0.444266            0.429795          -0.0852615
                  15            0.475999            0.458227          -0.0993526
                  16            0.507732            0.486197           -0.114339
                  17            0.539465            0.513677           -0.130205
                  18            0.571199            0.540641           -0.146935
                  19            0.602932             0.56706           -0.164511
                  20            0.634665            0.592908           -0.182918
                  21            0.666398            0.618159           -0.202135
                  22            0.698132            0.642788           -0.222144
                  23            0.729865            0.666769           -0.242924
                  24            0.761598            0.690079           -0.264454
                  25            0.793331            0.712694           -0.286713
                  26            0.825065            0.734592           -0.309679
                  27            0.856798             0.75575           -0.333327
                  28            0.888531            0.776146           -0.357635
                  29            0.920265            0.795762           -0.382578
                  30            0.951998            0.814576           -0.408131
                  31            0.983731             0.83257           -0.434268
                  32             1.01546            0.849725           -0.460963
                  33              1.0472            0.866025           -0.488188
                  34             1.07893            0.881453           -0.515917
                  35             1.11066            0.895994           -0.544121
                  36              1.1424            0.909632           -0.572773
                  37             1.17413            0.922354           -0.601843
                  38             1.20586            0.934148           -0.631302
                  39              1.2376            0.945001            -0.66112
                  40             1.26933            0.954902           -0.691268
                  41             1.30106            0.963842           -0.721714
                  42              1.3328            0.971812           -0.752429
                  43             1.36453            0.978802           -0.783381
                  44             1.39626            0.984808            -0.81454
                  45               1.428            0.989821           -0.845873
                  46             1.45973            0.993838            -0.87735
                  47             1.49146            0.996855           -0.908938
                  48              1.5232            0.998867           -0.940606
                  49             1.55493            0.999874           -0.972322
                  50             1.58666            0.999874            -1.00405
                  51              1.6184            0.998867            -1.03577
                  52             1.65013            0.996855            -1.06744
                  53             1.68186            0.993838            -1.09903
                  54              1.7136            0.989821             -1.1305
                  55             1.74533            0.984808            -1.16184
                  56             1.77706            0.978802            -1.19299
                  57              1.8088            0.971812            -1.22395
                  58             1.84053            0.963842            -1.25466
                  59             1.87226            0.954902            -1.28511
                  60               1.904            0.945001            -1.31526
                  61             1.93573            0.934148            -1.34507
                  62             1.96746            0.922354            -1.37453
                  63              1.9992            0.909632             -1.4036
                  64             2.03093            0.895994            -1.43225
                  65             2.06266            0.881453            -1.46046
                  66              2.0944            0.866025            -1.48819
                  67             2.12613            0.849725            -1.51541
                  68             2.15786             0.83257            -1.54211
                  69             2.18959            0.814576            -1.56824
                  70             2.22133            0.795762             -1.5938
                  71             2.25306            0.776146            -1.61874
                  72             2.28479             0.75575            -1.64305
                  73             2.31653            0.734592             -1.6667
                  74             2.34826            0.712694            -1.68966
                  75             2.37999            0.690079            -1.71192
                  76             2.41173            0.666769            -1.73345
                  77             2.44346            0.642788            -1.75423
                  78             2.47519            0.618159            -1.77424
                  79             2.50693            0.592908            -1.79346
                  80             2.53866             0.56706            -1.81186
                  81             2.57039            0.540641            -1.82944
                  82             2.60213            0.513677            -1.84617
                  83             2.63386            0.486197            -1.86204
                  84             2.66559            0.458227            -1.87702
                  85             2.69733            0.429795            -1.89111
                  86             2.72906            0.400931             -1.9043
                  87             2.76079            0.371662            -1.91656
                  88             2.79253             0.34202            -1.92788
                  89             2.82426            0.312033            -1.93826
                  90             2.85599            0.281733            -1.94768
                  91             2.88773            0.251148            -1.95614
                  92             2.91946            0.220311            -1.96362
                  93             2.95119            0.189251            -1.97012
                  94             2.98293            0.158001            -1.97563
                  95             3.01466            0.126592            -1.98014
                  96             3.04639            0.095056            -1.98366
                  97             3.07813           0.0634239            -1.98617
                  98             3.10986           0.0317279            -1.98768
                  99             3.14159                   0            -1.98819
