            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.36822
                   0                   0                   0             3.36822
                   1           0.0317333           0.0317279             3.36772
                   2           0.0634665           0.0634239             3.36621
                   3           0.0951998            0.095056             3.36369
                   4            0.126933            0.126592             3.36017
                   5            0.158666            0.158001             3.35566
                   6              0.1904            0.189251             3.35015
                   7            0.222133            0.220311             3.34365
                   8            0.253866            0.251148             3.33617
                   9            0.285599            0.281733             3.32771
                  10            0.317333            0.312033             3.31829
                  11            0.349066             0.34202             3.30791
                  12            0.380799            0.371662             3.29659
                  13            0.412532            0.400931             3.28433
                  14            0.444266            0.429795             3.27115
                  15            0.475999            0.458227             3.25706
                  16            0.507732            0.486197             3.24207
                  17            0.539465            0.513677              3.2262
                  18            0.571199            0.540641             3.20947
                  19            0.602932             0.56706              3.1919
                  20            0.634665            0.592908             3.17349
                  21            0.666398            0.618159             3.15427
                  22            0.698132            0.642788             3.13426
                  23            0.729865            0.666769             3.11348
                  24            0.761598            0.690079             3.09195
                  25            0.793331            0.712694             3.06969
                  26            0.825065            0.734592             3.04673
                  27            0.856798             0.75575             3.02308
                  28            0.888531            0.776146             2.99877
                  29            0.920265            0.795762             2.97383
                  30            0.951998            0.814576             2.94828
                  31            0.983731             0.83257             2.92214
                  32             1.01546            0.849725             2.89545
                  33              1.0472            0.866025             2.86822
                  34             1.07893            0.881453             2.84049
                  35             1.11066            0.895994             2.81229
                  36              1.1424            0.909632             2.78363
                  37             1.17413            0.922354             2.75456
                  38             1.20586            0.934148             2.72511
                  39              1.2376            0.945001             2.69529
                  40             1.26933            0.954902             2.66514
                  41             1.30106            0.963842             2.63469
                  42              1.3328            0.971812             2.60398
                  43             1.36453            0.978802             2.57303
                  44             1.39626            0.984808             2.54187
                  45               1.428            0.989821             2.51053
                  46             1.45973            0.993838             2.47906
                  47             1.49146            0.996855             2.44747
                  48              1.5232            0.998867              2.4158
                  49             1.55493            0.999874             2.38409
                  50             1.58666            0.999874             2.35235
                  51              1.6184            0.998867             2.32064
                  52             1.65013            0.996855             2.28897
                  53             1.68186            0.993838             2.25738
                  54              1.7136            0.989821              2.2259
                  55             1.74533            0.984808             2.19457
                  56             1.77706            0.978802             2.16341
                  57              1.8088            0.971812             2.13246
                  58             1.84053            0.963842             2.10175
                  59             1.87226            0.954902              2.0713
                  60               1.904            0.945001             2.04115
                  61             1.93573            0.934148             2.01133
                  62             1.96746            0.922354             1.98187
                  63              1.9992            0.909632              1.9528
                  64             2.03093            0.895994             1.92415
                  65             2.06266            0.881453             1.89595
                  66              2.0944            0.866025             1.86822
                  67             2.12613            0.849725             1.84099
                  68             2.15786             0.83257              1.8143
                  69             2.18959            0.814576             1.78816
                  70             2.22133            0.795762             1.76261
                  71             2.25306            0.776146             1.73767
                  72             2.28479             0.75575             1.71336
                  73             2.31653            0.734592             1.68971
                  74             2.34826            0.712694             1.66674
                  75             2.37999            0.690079             1.64449
                  76             2.41173            0.666769             1.62296
                  77             2.44346            0.642788             1.60218
                  78             2.47519            0.618159             1.58217
                  79             2.50693            0.592908             1.56295
                  80             2.53866             0.56706             1.54454
                  81             2.57039            0.540641             1.52697
                  82             2.60213            0.513677             1.51024
                  83             2.63386            0.486197             1.49437
                  84             2.66559            0.458227             1.47938
                  85             2.69733            0.429795             1.46529
                  86             2.72906            0.400931             1.45211
                  87             2.76079            0.371662             1.43985
                  88             2.79253             0.34202             1.42853
                  89             2.82426            0.312033             1.41815
                  90             2.85599            0.281733             1.40873
                  91             2.88773            0.251148             1.40027
                  92             2.91946            0.220311             1.39279
                  93             2.95119            0.189251             1.38629
                  94             2.98293            0.158001             1.38078
                  95             3.01466            0.126592             1.37626
                  96             3.04639            0.095056             1.37275
                  97             3.07813           0.0634239             1.37023
                  98             3.10986           0.0317279             1.36872
                  99             3.14159                   0             1.36822
