            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.16086
                   0                   0                   0            -2.16086
                   1           0.0317333           0.0317279            -2.16137
                   2           0.0634665           0.0634239            -2.16288
                   3           0.0951998            0.095056            -2.16539
                   4            0.126933            0.126592            -2.16891
                   5            0.158666            0.158001            -2.17342
                   6              0.1904            0.189251            -2.17893
                   7            0.222133            0.220311            -2.18543
                   8            0.253866            0.251148            -2.19291
                   9            0.285599            0.281733            -2.20137
                  10            0.317333            0.312033            -2.21079
                  11            0.349066             0.34202            -2.22117
                  12            0.380799            0.371662            -2.23249
                  13            0.412532            0.400931            -2.24475
                  14            0.444266            0.429795            -2.25794
                  15            0.475999            0.458227            -2.27203
                  16            0.507732            0.486197            -2.28701
                  17            0.539465            0.513677            -2.30288
                  18            0.571199            0.540641            -2.31961
                  19            0.602932             0.56706            -2.33719
                  20            0.634665            0.592908            -2.35559
                  21            0.666398            0.618159            -2.37481
                  22            0.698132            0.642788            -2.39482
                  23            0.729865            0.666769             -2.4156
                  24            0.761598            0.690079            -2.43713
                  25            0.793331            0.712694            -2.45939
                  26            0.825065            0.734592            -2.48235
                  27            0.856798             0.75575              -2.506
                  28            0.888531            0.776146            -2.53031
                  29            0.920265            0.795762            -2.55525
                  30            0.951998            0.814576            -2.58081
                  31            0.983731             0.83257            -2.60694
                  32             1.01546            0.849725            -2.63364
                  33              1.0472            0.866025            -2.66086
                  34             1.07893            0.881453            -2.68859
                  35             1.11066            0.895994             -2.7168
                  36              1.1424            0.909632            -2.74545
                  37             1.17413            0.922354            -2.77452
                  38             1.20586            0.934148            -2.80398
                  39              1.2376            0.945001            -2.83379
                  40             1.26933            0.954902            -2.86394
                  41             1.30106            0.963842            -2.89439
                  42              1.3328            0.971812             -2.9251
                  43             1.36453            0.978802            -2.95606
                  44             1.39626            0.984808            -2.98721
                  45               1.428            0.989821            -3.01855
                  46             1.45973            0.993838            -3.05002
                  47             1.49146            0.996855            -3.08161
                  48              1.5232            0.998867            -3.11328
                  49             1.55493            0.999874              -3.145
                  50             1.58666            0.999874            -3.17673
                  51              1.6184            0.998867            -3.20844
                  52             1.65013            0.996855            -3.24011
                  53             1.68186            0.993838             -3.2717
                  54              1.7136            0.989821            -3.30318
                  55             1.74533            0.984808            -3.33451
                  56             1.77706            0.978802            -3.36567
                  57              1.8088            0.971812            -3.39662
                  58             1.84053            0.963842            -3.42734
                  59             1.87226            0.954902            -3.45778
                  60               1.904            0.945001            -3.48793
                  61             1.93573            0.934148            -3.51775
                  62             1.96746            0.922354            -3.54721
                  63              1.9992            0.909632            -3.57628
                  64             2.03093            0.895994            -3.60493
                  65             2.06266            0.881453            -3.63313
                  66              2.0944            0.866025            -3.66086
                  67             2.12613            0.849725            -3.68809
                  68             2.15786             0.83257            -3.71478
                  69             2.18959            0.814576            -3.74092
                  70             2.22133            0.795762            -3.76647
                  71             2.25306            0.776146            -3.79142
                  72             2.28479             0.75575            -3.81572
                  73             2.31653            0.734592            -3.83937
                  74             2.34826            0.712694            -3.86234
                  75             2.37999            0.690079             -3.8846
                  76             2.41173            0.666769            -3.90613
                  77             2.44346            0.642788            -3.92691
                  78             2.47519            0.618159            -3.94692
                  79             2.50693            0.592908            -3.96613
                  80             2.53866             0.56706            -3.98454
                  81             2.57039            0.540641            -4.00212
                  82             2.60213            0.513677            -4.01885
                  83             2.63386            0.486197            -4.03471
                  84             2.66559            0.458227             -4.0497
                  85             2.69733            0.429795            -4.06379
                  86             2.72906            0.400931            -4.07697
                  87             2.76079            0.371662            -4.08923
                  88             2.79253             0.34202            -4.10056
                  89             2.82426            0.312033            -4.11093
                  90             2.85599            0.281733            -4.12036
                  91             2.88773            0.251148            -4.12881
                  92             2.91946            0.220311            -4.13629
                  93             2.95119            0.189251            -4.14279
                  94             2.98293            0.158001             -4.1483
                  95             3.01466            0.126592            -4.15282
                  96             3.04639            0.095056            -4.15633
                  97             3.07813           0.0634239            -4.15885
                  98             3.10986           0.0317279            -4.16036
                  99             3.14159                   0            -4.16086
