            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.13146
                   0                   0                   0            -2.13146
                   1           0.0317333           0.0317279            -2.13196
                   2           0.0634665           0.0634239            -2.13347
                   3           0.0951998            0.095056            -2.13599
                   4            0.126933            0.126592            -2.13951
                   5            0.158666            0.158001            -2.14402
                   6              0.1904            0.189251            -2.14953
                   7            0.222133            0.220311            -2.15603
                   8            0.253866            0.251148            -2.16351
                   9            0.285599            0.281733            -2.17197
                  10            0.317333            0.312033            -2.18139
                  11            0.349066             0.34202            -2.19177
                  12            0.380799            0.371662            -2.20309
                  13            0.412532            0.400931            -2.21535
                  14            0.444266            0.429795            -2.22853
                  15            0.475999            0.458227            -2.24263
                  16            0.507732            0.486197            -2.25761
                  17            0.539465            0.513677            -2.27348
                  18            0.571199            0.540641            -2.29021
                  19            0.602932             0.56706            -2.30778
                  20            0.634665            0.592908            -2.32619
                  21            0.666398            0.618159            -2.34541
                  22            0.698132            0.642788            -2.36542
                  23            0.729865            0.666769             -2.3862
                  24            0.761598            0.690079            -2.40773
                  25            0.793331            0.712694            -2.42999
                  26            0.825065            0.734592            -2.45295
                  27            0.856798             0.75575             -2.4766
                  28            0.888531            0.776146            -2.50091
                  29            0.920265            0.795762            -2.52585
                  30            0.951998            0.814576             -2.5514
                  31            0.983731             0.83257            -2.57754
                  32             1.01546            0.849725            -2.60424
                  33              1.0472            0.866025            -2.63146
                  34             1.07893            0.881453            -2.65919
                  35             1.11066            0.895994            -2.68739
                  36              1.1424            0.909632            -2.71605
                  37             1.17413            0.922354            -2.74512
                  38             1.20586            0.934148            -2.77457
                  39              1.2376            0.945001            -2.80439
                  40             1.26933            0.954902            -2.83454
                  41             1.30106            0.963842            -2.86499
                  42              1.3328            0.971812             -2.8957
                  43             1.36453            0.978802            -2.92665
                  44             1.39626            0.984808            -2.95781
                  45               1.428            0.989821            -2.98915
                  46             1.45973            0.993838            -3.02062
                  47             1.49146            0.996855            -3.05221
                  48              1.5232            0.998867            -3.08388
                  49             1.55493            0.999874             -3.1156
                  50             1.58666            0.999874            -3.14733
                  51              1.6184            0.998867            -3.17904
                  52             1.65013            0.996855            -3.21071
                  53             1.68186            0.993838             -3.2423
                  54              1.7136            0.989821            -3.27378
                  55             1.74533            0.984808            -3.30511
                  56             1.77706            0.978802            -3.33627
                  57              1.8088            0.971812            -3.36722
                  58             1.84053            0.963842            -3.39793
                  59             1.87226            0.954902            -3.42838
                  60               1.904            0.945001            -3.45853
                  61             1.93573            0.934148            -3.48835
                  62             1.96746            0.922354            -3.51781
                  63              1.9992            0.909632            -3.54688
                  64             2.03093            0.895994            -3.57553
                  65             2.06266            0.881453            -3.60373
                  66              2.0944            0.866025            -3.63146
                  67             2.12613            0.849725            -3.65869
                  68             2.15786             0.83257            -3.68538
                  69             2.18959            0.814576            -3.71152
                  70             2.22133            0.795762            -3.73707
                  71             2.25306            0.776146            -3.76201
                  72             2.28479             0.75575            -3.78632
                  73             2.31653            0.734592            -3.80997
                  74             2.34826            0.712694            -3.83294
                  75             2.37999            0.690079             -3.8552
                  76             2.41173            0.666769            -3.87673
                  77             2.44346            0.642788            -3.89751
                  78             2.47519            0.618159            -3.91751
                  79             2.50693            0.592908            -3.93673
                  80             2.53866             0.56706            -3.95514
                  81             2.57039            0.540641            -3.97271
                  82             2.60213            0.513677            -3.98944
                  83             2.63386            0.486197            -4.00531
                  84             2.66559            0.458227             -4.0203
                  85             2.69733            0.429795            -4.03439
                  86             2.72906            0.400931            -4.04757
                  87             2.76079            0.371662            -4.05983
                  88             2.79253             0.34202            -4.07115
                  89             2.82426            0.312033            -4.08153
                  90             2.85599            0.281733            -4.09095
                  91             2.88773            0.251148            -4.09941
                  92             2.91946            0.220311            -4.10689
                  93             2.95119            0.189251            -4.11339
                  94             2.98293            0.158001             -4.1189
                  95             3.01466            0.126592            -4.12342
                  96             3.04639            0.095056            -4.12693
                  97             3.07813           0.0634239            -4.12945
                  98             3.10986           0.0317279            -4.13096
                  99             3.14159                   0            -4.13146
