            Interval               Theta              Radial            Vertical
                   0                   0                   0          -0.0971551
                   0                   0                   0          -0.0971551
                   1           0.0317333           0.0317279          -0.0976585
                   2           0.0634665           0.0634239          -0.0991684
                   3           0.0951998            0.095056           -0.101683
                   4            0.126933            0.126592             -0.1052
                   5            0.158666            0.158001           -0.109716
                   6              0.1904            0.189251           -0.115226
                   7            0.222133            0.220311           -0.121725
                   8            0.253866            0.251148           -0.129206
                   9            0.285599            0.281733           -0.137662
                  10            0.317333            0.312033           -0.147084
                  11            0.349066             0.34202           -0.157462
                  12            0.380799            0.371662           -0.168787
                  13            0.412532            0.400931           -0.181047
                  14            0.444266            0.429795           -0.194229
                  15            0.475999            0.458227            -0.20832
                  16            0.507732            0.486197           -0.223306
                  17            0.539465            0.513677           -0.239172
                  18            0.571199            0.540641           -0.255902
                  19            0.602932             0.56706           -0.273478
                  20            0.634665            0.592908           -0.291885
                  21            0.666398            0.618159           -0.311102
                  22            0.698132            0.642788           -0.331111
                  23            0.729865            0.666769           -0.351891
                  24            0.761598            0.690079           -0.373421
                  25            0.793331            0.712694            -0.39568
                  26            0.825065            0.734592           -0.418646
                  27            0.856798             0.75575           -0.442294
                  28            0.888531            0.776146           -0.466602
                  29            0.920265            0.795762           -0.491545
                  30            0.951998            0.814576           -0.517098
                  31            0.983731             0.83257           -0.543235
                  32             1.01546            0.849725            -0.56993
                  33              1.0472            0.866025           -0.597155
                  34             1.07893            0.881453           -0.624884
                  35             1.11066            0.895994           -0.653088
                  36              1.1424            0.909632            -0.68174
                  37             1.17413            0.922354            -0.71081
                  38             1.20586            0.934148           -0.740269
                  39              1.2376            0.945001           -0.770087
                  40             1.26933            0.954902           -0.800235
                  41             1.30106            0.963842           -0.830681
                  42              1.3328            0.971812           -0.861396
                  43             1.36453            0.978802           -0.892348
                  44             1.39626            0.984808           -0.923507
                  45               1.428            0.989821            -0.95484
                  46             1.45973            0.993838           -0.986317
                  47             1.49146            0.996855            -1.01791
                  48              1.5232            0.998867            -1.04957
                  49             1.55493            0.999874            -1.08129
                  50             1.58666            0.999874            -1.11302
                  51              1.6184            0.998867            -1.14474
                  52             1.65013            0.996855            -1.17641
                  53             1.68186            0.993838            -1.20799
                  54              1.7136            0.989821            -1.23947
                  55             1.74533            0.984808             -1.2708
                  56             1.77706            0.978802            -1.30196
                  57              1.8088            0.971812            -1.33291
                  58             1.84053            0.963842            -1.36363
                  59             1.87226            0.954902            -1.39408
                  60               1.904            0.945001            -1.42422
                  61             1.93573            0.934148            -1.45404
                  62             1.96746            0.922354             -1.4835
                  63              1.9992            0.909632            -1.51257
                  64             2.03093            0.895994            -1.54122
                  65             2.06266            0.881453            -1.56943
                  66              2.0944            0.866025            -1.59716
                  67             2.12613            0.849725            -1.62438
                  68             2.15786             0.83257            -1.65108
                  69             2.18959            0.814576            -1.67721
                  70             2.22133            0.795762            -1.70276
                  71             2.25306            0.776146            -1.72771
                  72             2.28479             0.75575            -1.75202
                  73             2.31653            0.734592            -1.77566
                  74             2.34826            0.712694            -1.79863
                  75             2.37999            0.690079            -1.82089
                  76             2.41173            0.666769            -1.84242
                  77             2.44346            0.642788             -1.8632
                  78             2.47519            0.618159            -1.88321
                  79             2.50693            0.592908            -1.90243
                  80             2.53866             0.56706            -1.92083
                  81             2.57039            0.540641            -1.93841
                  82             2.60213            0.513677            -1.95514
                  83             2.63386            0.486197              -1.971
                  84             2.66559            0.458227            -1.98599
                  85             2.69733            0.429795            -2.00008
                  86             2.72906            0.400931            -2.01326
                  87             2.76079            0.371662            -2.02552
                  88             2.79253             0.34202            -2.03685
                  89             2.82426            0.312033            -2.04723
                  90             2.85599            0.281733            -2.05665
                  91             2.88773            0.251148             -2.0651
                  92             2.91946            0.220311            -2.07258
                  93             2.95119            0.189251            -2.07908
                  94             2.98293            0.158001            -2.08459
                  95             3.01466            0.126592            -2.08911
                  96             3.04639            0.095056            -2.09263
                  97             3.07813           0.0634239            -2.09514
                  98             3.10986           0.0317279            -2.09665
                  99             3.14159                   0            -2.09716
