            Interval               Theta              Radial            Vertical
                   0                   0                   0           0.0608065
                   0                   0                   0           0.0608065
                   1           0.0317333           0.0317279           0.0603031
                   2           0.0634665           0.0634239           0.0587932
                   3           0.0951998            0.095056           0.0562784
                   4            0.126933            0.126592           0.0527613
                   5            0.158666            0.158001           0.0482454
                   6              0.1904            0.189251           0.0427352
                   7            0.222133            0.220311           0.0362363
                   8            0.253866            0.251148           0.0287552
                   9            0.285599            0.281733           0.0202995
                  10            0.317333            0.312033           0.0108776
                  11            0.349066             0.34202         0.000499146
                  12            0.380799            0.371662          -0.0108255
                  13            0.412532            0.400931           -0.023085
                  14            0.444266            0.429795          -0.0362669
                  15            0.475999            0.458227           -0.050358
                  16            0.507732            0.486197          -0.0653441
                  17            0.539465            0.513677          -0.0812101
                  18            0.571199            0.540641          -0.0979399
                  19            0.602932             0.56706           -0.115517
                  20            0.634665            0.592908           -0.133923
                  21            0.666398            0.618159            -0.15314
                  22            0.698132            0.642788           -0.173149
                  23            0.729865            0.666769           -0.193929
                  24            0.761598            0.690079           -0.215459
                  25            0.793331            0.712694           -0.237719
                  26            0.825065            0.734592           -0.260684
                  27            0.856798             0.75575           -0.284333
                  28            0.888531            0.776146           -0.308641
                  29            0.920265            0.795762           -0.333584
                  30            0.951998            0.814576           -0.359137
                  31            0.983731             0.83257           -0.385273
                  32             1.01546            0.849725           -0.411968
                  33              1.0472            0.866025           -0.439193
                  34             1.07893            0.881453           -0.466922
                  35             1.11066            0.895994           -0.495127
                  36              1.1424            0.909632           -0.523778
                  37             1.17413            0.922354           -0.552848
                  38             1.20586            0.934148           -0.582307
                  39              1.2376            0.945001           -0.612126
                  40             1.26933            0.954902           -0.642273
                  41             1.30106            0.963842            -0.67272
                  42              1.3328            0.971812           -0.703435
                  43             1.36453            0.978802           -0.734387
                  44             1.39626            0.984808           -0.765545
                  45               1.428            0.989821           -0.796879
                  46             1.45973            0.993838           -0.828355
                  47             1.49146            0.996855           -0.859944
                  48              1.5232            0.998867           -0.891612
                  49             1.55493            0.999874           -0.923328
                  50             1.58666            0.999874           -0.955059
                  51              1.6184            0.998867           -0.986775
                  52             1.65013            0.996855            -1.01844
                  53             1.68186            0.993838            -1.05003
                  54              1.7136            0.989821            -1.08151
                  55             1.74533            0.984808            -1.11284
                  56             1.77706            0.978802              -1.144
                  57              1.8088            0.971812            -1.17495
                  58             1.84053            0.963842            -1.20567
                  59             1.87226            0.954902            -1.23611
                  60               1.904            0.945001            -1.26626
                  61             1.93573            0.934148            -1.29608
                  62             1.96746            0.922354            -1.32554
                  63              1.9992            0.909632            -1.35461
                  64             2.03093            0.895994            -1.38326
                  65             2.06266            0.881453            -1.41146
                  66              2.0944            0.866025            -1.43919
                  67             2.12613            0.849725            -1.46642
                  68             2.15786             0.83257            -1.49311
                  69             2.18959            0.814576            -1.51925
                  70             2.22133            0.795762             -1.5448
                  71             2.25306            0.776146            -1.56975
                  72             2.28479             0.75575            -1.59405
                  73             2.31653            0.734592             -1.6177
                  74             2.34826            0.712694            -1.64067
                  75             2.37999            0.690079            -1.66293
                  76             2.41173            0.666769            -1.68446
                  77             2.44346            0.642788            -1.70524
                  78             2.47519            0.618159            -1.72525
                  79             2.50693            0.592908            -1.74446
                  80             2.53866             0.56706            -1.76287
                  81             2.57039            0.540641            -1.78045
                  82             2.60213            0.513677            -1.79718
                  83             2.63386            0.486197            -1.81304
                  84             2.66559            0.458227            -1.82803
                  85             2.69733            0.429795            -1.84212
                  86             2.72906            0.400931             -1.8553
                  87             2.76079            0.371662            -1.86756
                  88             2.79253             0.34202            -1.87889
                  89             2.82426            0.312033            -1.88926
                  90             2.85599            0.281733            -1.89869
                  91             2.88773            0.251148            -1.90714
                  92             2.91946            0.220311            -1.91462
                  93             2.95119            0.189251            -1.92112
                  94             2.98293            0.158001            -1.92663
                  95             3.01466            0.126592            -1.93115
                  96             3.04639            0.095056            -1.93467
                  97             3.07813           0.0634239            -1.93718
                  98             3.10986           0.0317279            -1.93869
                  99             3.14159                   0            -1.93919
