            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.76343
                   0                   0                   0             3.76343
                   1           0.0317333           0.0317279             3.76292
                   2           0.0634665           0.0634239             3.76141
                   3           0.0951998            0.095056              3.7589
                   4            0.126933            0.126592             3.75538
                   5            0.158666            0.158001             3.75087
                   6              0.1904            0.189251             3.74536
                   7            0.222133            0.220311             3.73886
                   8            0.253866            0.251148             3.73138
                   9            0.285599            0.281733             3.72292
                  10            0.317333            0.312033              3.7135
                  11            0.349066             0.34202             3.70312
                  12            0.380799            0.371662              3.6918
                  13            0.412532            0.400931             3.67954
                  14            0.444266            0.429795             3.66635
                  15            0.475999            0.458227             3.65226
                  16            0.507732            0.486197             3.63728
                  17            0.539465            0.513677             3.62141
                  18            0.571199            0.540641             3.60468
                  19            0.602932             0.56706              3.5871
                  20            0.634665            0.592908              3.5687
                  21            0.666398            0.618159             3.54948
                  22            0.698132            0.642788             3.52947
                  23            0.729865            0.666769             3.50869
                  24            0.761598            0.690079             3.48716
                  25            0.793331            0.712694              3.4649
                  26            0.825065            0.734592             3.44194
                  27            0.856798             0.75575             3.41829
                  28            0.888531            0.776146             3.39398
                  29            0.920265            0.795762             3.36904
                  30            0.951998            0.814576             3.34348
                  31            0.983731             0.83257             3.31735
                  32             1.01546            0.849725             3.29065
                  33              1.0472            0.866025             3.26343
                  34             1.07893            0.881453              3.2357
                  35             1.11066            0.895994             3.20749
                  36              1.1424            0.909632             3.17884
                  37             1.17413            0.922354             3.14977
                  38             1.20586            0.934148             3.12031
                  39              1.2376            0.945001              3.0905
                  40             1.26933            0.954902             3.06035
                  41             1.30106            0.963842              3.0299
                  42              1.3328            0.971812             2.99919
                  43             1.36453            0.978802             2.96823
                  44             1.39626            0.984808             2.93708
                  45               1.428            0.989821             2.90574
                  46             1.45973            0.993838             2.87427
                  47             1.49146            0.996855             2.84268
                  48              1.5232            0.998867             2.81101
                  49             1.55493            0.999874             2.77929
                  50             1.58666            0.999874             2.74756
                  51              1.6184            0.998867             2.71585
                  52             1.65013            0.996855             2.68418
                  53             1.68186            0.993838             2.65259
                  54              1.7136            0.989821             2.62111
                  55             1.74533            0.984808             2.58978
                  56             1.77706            0.978802             2.55862
                  57              1.8088            0.971812             2.52767
                  58             1.84053            0.963842             2.49695
                  59             1.87226            0.954902             2.46651
                  60               1.904            0.945001             2.43636
                  61             1.93573            0.934148             2.40654
                  62             1.96746            0.922354             2.37708
                  63              1.9992            0.909632             2.34801
                  64             2.03093            0.895994             2.31936
                  65             2.06266            0.881453             2.29116
                  66              2.0944            0.866025             2.26343
                  67             2.12613            0.849725              2.2362
                  68             2.15786             0.83257             2.20951
                  69             2.18959            0.814576             2.18337
                  70             2.22133            0.795762             2.15782
                  71             2.25306            0.776146             2.13288
                  72             2.28479             0.75575             2.10857
                  73             2.31653            0.734592             2.08492
                  74             2.34826            0.712694             2.06195
                  75             2.37999            0.690079             2.03969
                  76             2.41173            0.666769             2.01816
                  77             2.44346            0.642788             1.99738
                  78             2.47519            0.618159             1.97737
                  79             2.50693            0.592908             1.95816
                  80             2.53866             0.56706             1.93975
                  81             2.57039            0.540641             1.92217
                  82             2.60213            0.513677             1.90544
                  83             2.63386            0.486197             1.88958
                  84             2.66559            0.458227             1.87459
                  85             2.69733            0.429795              1.8605
                  86             2.72906            0.400931             1.84732
                  87             2.76079            0.371662             1.83506
                  88             2.79253             0.34202             1.82374
                  89             2.82426            0.312033             1.81336
                  90             2.85599            0.281733             1.80393
                  91             2.88773            0.251148             1.79548
                  92             2.91946            0.220311               1.788
                  93             2.95119            0.189251              1.7815
                  94             2.98293            0.158001             1.77599
                  95             3.01466            0.126592             1.77147
                  96             3.04639            0.095056             1.76796
                  97             3.07813           0.0634239             1.76544
                  98             3.10986           0.0317279             1.76393
                  99             3.14159                   0             1.76343
