            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.46851
                   0                   0                   0             3.46851
                   1           0.0317333           0.0317279               3.468
                   2           0.0634665           0.0634239             3.46649
                   3           0.0951998            0.095056             3.46398
                   4            0.126933            0.126592             3.46046
                   5            0.158666            0.158001             3.45595
                   6              0.1904            0.189251             3.45044
                   7            0.222133            0.220311             3.44394
                   8            0.253866            0.251148             3.43646
                   9            0.285599            0.281733               3.428
                  10            0.317333            0.312033             3.41858
                  11            0.349066             0.34202              3.4082
                  12            0.380799            0.371662             3.39687
                  13            0.412532            0.400931             3.38462
                  14            0.444266            0.429795             3.37143
                  15            0.475999            0.458227             3.35734
                  16            0.507732            0.486197             3.34236
                  17            0.539465            0.513677             3.32649
                  18            0.571199            0.540641             3.30976
                  19            0.602932             0.56706             3.29218
                  20            0.634665            0.592908             3.27378
                  21            0.666398            0.618159             3.25456
                  22            0.698132            0.642788             3.23455
                  23            0.729865            0.666769             3.21377
                  24            0.761598            0.690079             3.19224
                  25            0.793331            0.712694             3.16998
                  26            0.825065            0.734592             3.14702
                  27            0.856798             0.75575             3.12337
                  28            0.888531            0.776146             3.09906
                  29            0.920265            0.795762             3.07412
                  30            0.951998            0.814576             3.04856
                  31            0.983731             0.83257             3.02243
                  32             1.01546            0.849725             2.99573
                  33              1.0472            0.866025             2.96851
                  34             1.07893            0.881453             2.94078
                  35             1.11066            0.895994             2.91257
                  36              1.1424            0.909632             2.88392
                  37             1.17413            0.922354             2.85485
                  38             1.20586            0.934148             2.82539
                  39              1.2376            0.945001             2.79557
                  40             1.26933            0.954902             2.76543
                  41             1.30106            0.963842             2.73498
                  42              1.3328            0.971812             2.70427
                  43             1.36453            0.978802             2.67331
                  44             1.39626            0.984808             2.64216
                  45               1.428            0.989821             2.61082
                  46             1.45973            0.993838             2.57935
                  47             1.49146            0.996855             2.54776
                  48              1.5232            0.998867             2.51609
                  49             1.55493            0.999874             2.48437
                  50             1.58666            0.999874             2.45264
                  51              1.6184            0.998867             2.42093
                  52             1.65013            0.996855             2.38926
                  53             1.68186            0.993838             2.35767
                  54              1.7136            0.989821             2.32619
                  55             1.74533            0.984808             2.29486
                  56             1.77706            0.978802              2.2637
                  57              1.8088            0.971812             2.23275
                  58             1.84053            0.963842             2.20203
                  59             1.87226            0.954902             2.17159
                  60               1.904            0.945001             2.14144
                  61             1.93573            0.934148             2.11162
                  62             1.96746            0.922354             2.08216
                  63              1.9992            0.909632             2.05309
                  64             2.03093            0.895994             2.02444
                  65             2.06266            0.881453             1.99624
                  66              2.0944            0.866025             1.96851
                  67             2.12613            0.849725             1.94128
                  68             2.15786             0.83257             1.91459
                  69             2.18959            0.814576             1.88845
                  70             2.22133            0.795762              1.8629
                  71             2.25306            0.776146             1.83795
                  72             2.28479             0.75575             1.81365
                  73             2.31653            0.734592                1.79
                  74             2.34826            0.712694             1.76703
                  75             2.37999            0.690079             1.74477
                  76             2.41173            0.666769             1.72324
                  77             2.44346            0.642788             1.70246
                  78             2.47519            0.618159             1.68245
                  79             2.50693            0.592908             1.66324
                  80             2.53866             0.56706             1.64483
                  81             2.57039            0.540641             1.62725
                  82             2.60213            0.513677             1.61052
                  83             2.63386            0.486197             1.59466
                  84             2.66559            0.458227             1.57967
                  85             2.69733            0.429795             1.56558
                  86             2.72906            0.400931              1.5524
                  87             2.76079            0.371662             1.54014
                  88             2.79253             0.34202             1.52881
                  89             2.82426            0.312033             1.51844
                  90             2.85599            0.281733             1.50901
                  91             2.88773            0.251148             1.50056
                  92             2.91946            0.220311             1.49308
                  93             2.95119            0.189251             1.48658
                  94             2.98293            0.158001             1.48107
                  95             3.01466            0.126592             1.47655
                  96             3.04639            0.095056             1.47304
                  97             3.07813           0.0634239             1.47052
                  98             3.10986           0.0317279             1.46901
                  99             3.14159                   0             1.46851
