            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.99679
                   0                   0                   0             1.99679
                   1           0.0317333           0.0317279             1.99629
                   2           0.0634665           0.0634239             1.99478
                   3           0.0951998            0.095056             1.99226
                   4            0.126933            0.126592             1.98875
                   5            0.158666            0.158001             1.98423
                   6              0.1904            0.189251             1.97872
                   7            0.222133            0.220311             1.97222
                   8            0.253866            0.251148             1.96474
                   9            0.285599            0.281733             1.95628
                  10            0.317333            0.312033             1.94686
                  11            0.349066             0.34202             1.93648
                  12            0.380799            0.371662             1.92516
                  13            0.412532            0.400931              1.9129
                  14            0.444266            0.429795             1.89972
                  15            0.475999            0.458227             1.88563
                  16            0.507732            0.486197             1.87064
                  17            0.539465            0.513677             1.85477
                  18            0.571199            0.540641             1.83804
                  19            0.602932             0.56706             1.82047
                  20            0.634665            0.592908             1.80206
                  21            0.666398            0.618159             1.78284
                  22            0.698132            0.642788             1.76284
                  23            0.729865            0.666769             1.74206
                  24            0.761598            0.690079             1.72053
                  25            0.793331            0.712694             1.69827
                  26            0.825065            0.734592              1.6753
                  27            0.856798             0.75575             1.65165
                  28            0.888531            0.776146             1.62734
                  29            0.920265            0.795762              1.6024
                  30            0.951998            0.814576             1.57685
                  31            0.983731             0.83257             1.55071
                  32             1.01546            0.849725             1.52402
                  33              1.0472            0.866025             1.49679
                  34             1.07893            0.881453             1.46906
                  35             1.11066            0.895994             1.44086
                  36              1.1424            0.909632             1.41221
                  37             1.17413            0.922354             1.38314
                  38             1.20586            0.934148             1.35368
                  39              1.2376            0.945001             1.32386
                  40             1.26933            0.954902             1.29371
                  41             1.30106            0.963842             1.26327
                  42              1.3328            0.971812             1.23255
                  43             1.36453            0.978802              1.2016
                  44             1.39626            0.984808             1.17044
                  45               1.428            0.989821             1.13911
                  46             1.45973            0.993838             1.10763
                  47             1.49146            0.996855             1.07604
                  48              1.5232            0.998867             1.04437
                  49             1.55493            0.999874             1.01266
                  50             1.58666            0.999874            0.980925
                  51              1.6184            0.998867             0.94921
                  52             1.65013            0.996855            0.917541
                  53             1.68186            0.993838            0.885953
                  54              1.7136            0.989821            0.854477
                  55             1.74533            0.984808            0.823143
                  56             1.77706            0.978802            0.791985
                  57              1.8088            0.971812            0.761032
                  58             1.84053            0.963842            0.730318
                  59             1.87226            0.954902            0.699871
                  60               1.904            0.945001            0.669723
                  61             1.93573            0.934148            0.639905
                  62             1.96746            0.922354            0.610446
                  63              1.9992            0.909632            0.581376
                  64             2.03093            0.895994            0.552725
                  65             2.06266            0.881453             0.52452
                  66              2.0944            0.866025            0.496791
                  67             2.12613            0.849725            0.469566
                  68             2.15786             0.83257            0.442871
                  69             2.18959            0.814576            0.416735
                  70             2.22133            0.795762            0.391182
                  71             2.25306            0.776146            0.366239
                  72             2.28479             0.75575            0.341931
                  73             2.31653            0.734592            0.318282
                  74             2.34826            0.712694            0.295317
                  75             2.37999            0.690079            0.273057
                  76             2.41173            0.666769            0.251527
                  77             2.44346            0.642788            0.230747
                  78             2.47519            0.618159            0.210738
                  79             2.50693            0.592908            0.191521
                  80             2.53866             0.56706            0.173115
                  81             2.57039            0.540641            0.155538
                  82             2.60213            0.513677            0.138808
                  83             2.63386            0.486197            0.122942
                  84             2.66559            0.458227            0.107956
                  85             2.69733            0.429795           0.0938649
                  86             2.72906            0.400931            0.080683
                  87             2.76079            0.371662           0.0684235
                  88             2.79253             0.34202           0.0570988
                  89             2.82426            0.312033           0.0467203
                  90             2.85599            0.281733           0.0372985
                  91             2.88773            0.251148           0.0288427
                  92             2.91946            0.220311           0.0213616
                  93             2.95119            0.189251           0.0148627
                  94             2.98293            0.158001          0.00935254
                  95             3.01466            0.126592          0.00483661
                  96             3.04639            0.095056           0.0013195
                  97             3.07813           0.0634239         -0.00119525
                  98             3.10986           0.0317279         -0.00270512
                  99             3.14159                   0         -0.00320857
