            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.14291
                   0                   0                   0             3.14291
                   1           0.0317333           0.0317279             3.14241
                   2           0.0634665           0.0634239              3.1409
                   3           0.0951998            0.095056             3.13839
                   4            0.126933            0.126592             3.13487
                   5            0.158666            0.158001             3.13035
                   6              0.1904            0.189251             3.12484
                   7            0.222133            0.220311             3.11834
                   8            0.253866            0.251148             3.11086
                   9            0.285599            0.281733             3.10241
                  10            0.317333            0.312033             3.09299
                  11            0.349066             0.34202             3.08261
                  12            0.380799            0.371662             3.07128
                  13            0.412532            0.400931             3.05902
                  14            0.444266            0.429795             3.04584
                  15            0.475999            0.458227             3.03175
                  16            0.507732            0.486197             3.01676
                  17            0.539465            0.513677              3.0009
                  18            0.571199            0.540641             2.98417
                  19            0.602932             0.56706             2.96659
                  20            0.634665            0.592908             2.94818
                  21            0.666398            0.618159             2.92897
                  22            0.698132            0.642788             2.90896
                  23            0.729865            0.666769             2.88818
                  24            0.761598            0.690079             2.86665
                  25            0.793331            0.712694             2.84439
                  26            0.825065            0.734592             2.82142
                  27            0.856798             0.75575             2.79777
                  28            0.888531            0.776146             2.77347
                  29            0.920265            0.795762             2.74852
                  30            0.951998            0.814576             2.72297
                  31            0.983731             0.83257             2.69683
                  32             1.01546            0.849725             2.67014
                  33              1.0472            0.866025             2.64291
                  34             1.07893            0.881453             2.61519
                  35             1.11066            0.895994             2.58698
                  36              1.1424            0.909632             2.55833
                  37             1.17413            0.922354             2.52926
                  38             1.20586            0.934148              2.4998
                  39              1.2376            0.945001             2.46998
                  40             1.26933            0.954902             2.43983
                  41             1.30106            0.963842             2.40939
                  42              1.3328            0.971812             2.37867
                  43             1.36453            0.978802             2.34772
                  44             1.39626            0.984808             2.31656
                  45               1.428            0.989821             2.28523
                  46             1.45973            0.993838             2.25375
                  47             1.49146            0.996855             2.22216
                  48              1.5232            0.998867              2.1905
                  49             1.55493            0.999874             2.15878
                  50             1.58666            0.999874             2.12705
                  51              1.6184            0.998867             2.09533
                  52             1.65013            0.996855             2.06366
                  53             1.68186            0.993838             2.03208
                  54              1.7136            0.989821              2.0006
                  55             1.74533            0.984808             1.96927
                  56             1.77706            0.978802             1.93811
                  57              1.8088            0.971812             1.90716
                  58             1.84053            0.963842             1.87644
                  59             1.87226            0.954902             1.84599
                  60               1.904            0.945001             1.81585
                  61             1.93573            0.934148             1.78603
                  62             1.96746            0.922354             1.75657
                  63              1.9992            0.909632              1.7275
                  64             2.03093            0.895994             1.69885
                  65             2.06266            0.881453             1.67064
                  66              2.0944            0.866025             1.64291
                  67             2.12613            0.849725             1.61569
                  68             2.15786             0.83257             1.58899
                  69             2.18959            0.814576             1.56286
                  70             2.22133            0.795762              1.5373
                  71             2.25306            0.776146             1.51236
                  72             2.28479             0.75575             1.48805
                  73             2.31653            0.734592              1.4644
                  74             2.34826            0.712694             1.44144
                  75             2.37999            0.690079             1.41918
                  76             2.41173            0.666769             1.39765
                  77             2.44346            0.642788             1.37687
                  78             2.47519            0.618159             1.35686
                  79             2.50693            0.592908             1.33764
                  80             2.53866             0.56706             1.31924
                  81             2.57039            0.540641             1.30166
                  82             2.60213            0.513677             1.28493
                  83             2.63386            0.486197             1.26906
                  84             2.66559            0.458227             1.25408
                  85             2.69733            0.429795             1.23999
                  86             2.72906            0.400931             1.22681
                  87             2.76079            0.371662             1.21455
                  88             2.79253             0.34202             1.20322
                  89             2.82426            0.312033             1.19284
                  90             2.85599            0.281733             1.18342
                  91             2.88773            0.251148             1.17497
                  92             2.91946            0.220311             1.16748
                  93             2.95119            0.189251             1.16099
                  94             2.98293            0.158001             1.15548
                  95             3.01466            0.126592             1.15096
                  96             3.04639            0.095056             1.14744
                  97             3.07813           0.0634239             1.14493
                  98             3.10986           0.0317279             1.14342
                  99             3.14159                   0             1.14291
