            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.89199
                   0                   0                   0            -1.89199
                   1           0.0317333           0.0317279            -1.89249
                   2           0.0634665           0.0634239              -1.894
                   3           0.0951998            0.095056            -1.89652
                   4            0.126933            0.126592            -1.90003
                   5            0.158666            0.158001            -1.90455
                   6              0.1904            0.189251            -1.91006
                   7            0.222133            0.220311            -1.91656
                   8            0.253866            0.251148            -1.92404
                   9            0.285599            0.281733            -1.93249
                  10            0.317333            0.312033            -1.94192
                  11            0.349066             0.34202            -1.95229
                  12            0.380799            0.371662            -1.96362
                  13            0.412532            0.400931            -1.97588
                  14            0.444266            0.429795            -1.98906
                  15            0.475999            0.458227            -2.00315
                  16            0.507732            0.486197            -2.01814
                  17            0.539465            0.513677              -2.034
                  18            0.571199            0.540641            -2.05073
                  19            0.602932             0.56706            -2.06831
                  20            0.634665            0.592908            -2.08672
                  21            0.666398            0.618159            -2.10593
                  22            0.698132            0.642788            -2.12594
                  23            0.729865            0.666769            -2.14672
                  24            0.761598            0.690079            -2.16825
                  25            0.793331            0.712694            -2.19051
                  26            0.825065            0.734592            -2.21348
                  27            0.856798             0.75575            -2.23713
                  28            0.888531            0.776146            -2.26143
                  29            0.920265            0.795762            -2.28638
                  30            0.951998            0.814576            -2.31193
                  31            0.983731             0.83257            -2.33807
                  32             1.01546            0.849725            -2.36476
                  33              1.0472            0.866025            -2.39199
                  34             1.07893            0.881453            -2.41972
                  35             1.11066            0.895994            -2.44792
                  36              1.1424            0.909632            -2.47657
                  37             1.17413            0.922354            -2.50564
                  38             1.20586            0.934148             -2.5351
                  39              1.2376            0.945001            -2.56492
                  40             1.26933            0.954902            -2.59507
                  41             1.30106            0.963842            -2.62551
                  42              1.3328            0.971812            -2.65623
                  43             1.36453            0.978802            -2.68718
                  44             1.39626            0.984808            -2.71834
                  45               1.428            0.989821            -2.74967
                  46             1.45973            0.993838            -2.78115
                  47             1.49146            0.996855            -2.81274
                  48              1.5232            0.998867            -2.84441
                  49             1.55493            0.999874            -2.87612
                  50             1.58666            0.999874            -2.90785
                  51              1.6184            0.998867            -2.93957
                  52             1.65013            0.996855            -2.97124
                  53             1.68186            0.993838            -3.00283
                  54              1.7136            0.989821             -3.0343
                  55             1.74533            0.984808            -3.06564
                  56             1.77706            0.978802            -3.09679
                  57              1.8088            0.971812            -3.12775
                  58             1.84053            0.963842            -3.15846
                  59             1.87226            0.954902            -3.18891
                  60               1.904            0.945001            -3.21906
                  61             1.93573            0.934148            -3.24887
                  62             1.96746            0.922354            -3.27833
                  63              1.9992            0.909632             -3.3074
                  64             2.03093            0.895994            -3.33605
                  65             2.06266            0.881453            -3.36426
                  66              2.0944            0.866025            -3.39199
                  67             2.12613            0.849725            -3.41921
                  68             2.15786             0.83257            -3.44591
                  69             2.18959            0.814576            -3.47204
                  70             2.22133            0.795762             -3.4976
                  71             2.25306            0.776146            -3.52254
                  72             2.28479             0.75575            -3.54685
                  73             2.31653            0.734592             -3.5705
                  74             2.34826            0.712694            -3.59346
                  75             2.37999            0.690079            -3.61572
                  76             2.41173            0.666769            -3.63725
                  77             2.44346            0.642788            -3.65803
                  78             2.47519            0.618159            -3.67804
                  79             2.50693            0.592908            -3.69726
                  80             2.53866             0.56706            -3.71566
                  81             2.57039            0.540641            -3.73324
                  82             2.60213            0.513677            -3.74997
                  83             2.63386            0.486197            -3.76584
                  84             2.66559            0.458227            -3.78082
                  85             2.69733            0.429795            -3.79491
                  86             2.72906            0.400931             -3.8081
                  87             2.76079            0.371662            -3.82036
                  88             2.79253             0.34202            -3.83168
                  89             2.82426            0.312033            -3.84206
                  90             2.85599            0.281733            -3.85148
                  91             2.88773            0.251148            -3.85994
                  92             2.91946            0.220311            -3.86742
                  93             2.95119            0.189251            -3.87392
                  94             2.98293            0.158001            -3.87943
                  95             3.01466            0.126592            -3.88394
                  96             3.04639            0.095056            -3.88746
                  97             3.07813           0.0634239            -3.88997
                  98             3.10986           0.0317279            -3.89148
                  99             3.14159                   0            -3.89199
