            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.08427
                   0                   0                   0             3.08427
                   1           0.0317333           0.0317279             3.08377
                   2           0.0634665           0.0634239             3.08226
                   3           0.0951998            0.095056             3.07974
                   4            0.126933            0.126592             3.07622
                   5            0.158666            0.158001             3.07171
                   6              0.1904            0.189251              3.0662
                   7            0.222133            0.220311              3.0597
                   8            0.253866            0.251148             3.05222
                   9            0.285599            0.281733             3.04376
                  10            0.317333            0.312033             3.03434
                  11            0.349066             0.34202             3.02396
                  12            0.380799            0.371662             3.01264
                  13            0.412532            0.400931             3.00038
                  14            0.444266            0.429795              2.9872
                  15            0.475999            0.458227              2.9731
                  16            0.507732            0.486197             2.95812
                  17            0.539465            0.513677             2.94225
                  18            0.571199            0.540641             2.92552
                  19            0.602932             0.56706             2.90795
                  20            0.634665            0.592908             2.88954
                  21            0.666398            0.618159             2.87032
                  22            0.698132            0.642788             2.85031
                  23            0.729865            0.666769             2.82953
                  24            0.761598            0.690079               2.808
                  25            0.793331            0.712694             2.78574
                  26            0.825065            0.734592             2.76278
                  27            0.856798             0.75575             2.73913
                  28            0.888531            0.776146             2.71482
                  29            0.920265            0.795762             2.68988
                  30            0.951998            0.814576             2.66433
                  31            0.983731             0.83257             2.63819
                  32             1.01546            0.849725             2.61149
                  33              1.0472            0.866025             2.58427
                  34             1.07893            0.881453             2.55654
                  35             1.11066            0.895994             2.52834
                  36              1.1424            0.909632             2.49968
                  37             1.17413            0.922354             2.47061
                  38             1.20586            0.934148             2.44116
                  39              1.2376            0.945001             2.41134
                  40             1.26933            0.954902             2.38119
                  41             1.30106            0.963842             2.35074
                  42              1.3328            0.971812             2.32003
                  43             1.36453            0.978802             2.28908
                  44             1.39626            0.984808             2.25792
                  45               1.428            0.989821             2.22658
                  46             1.45973            0.993838             2.19511
                  47             1.49146            0.996855             2.16352
                  48              1.5232            0.998867             2.13185
                  49             1.55493            0.999874             2.10014
                  50             1.58666            0.999874              2.0684
                  51              1.6184            0.998867             2.03669
                  52             1.65013            0.996855             2.00502
                  53             1.68186            0.993838             1.97343
                  54              1.7136            0.989821             1.94195
                  55             1.74533            0.984808             1.91062
                  56             1.77706            0.978802             1.87946
                  57              1.8088            0.971812             1.84851
                  58             1.84053            0.963842              1.8178
                  59             1.87226            0.954902             1.78735
                  60               1.904            0.945001              1.7572
                  61             1.93573            0.934148             1.72738
                  62             1.96746            0.922354             1.69792
                  63              1.9992            0.909632             1.66885
                  64             2.03093            0.895994              1.6402
                  65             2.06266            0.881453               1.612
                  66              2.0944            0.866025             1.58427
                  67             2.12613            0.849725             1.55704
                  68             2.15786             0.83257             1.53035
                  69             2.18959            0.814576             1.50421
                  70             2.22133            0.795762             1.47866
                  71             2.25306            0.776146             1.45372
                  72             2.28479             0.75575             1.42941
                  73             2.31653            0.734592             1.40576
                  74             2.34826            0.712694             1.38279
                  75             2.37999            0.690079             1.36054
                  76             2.41173            0.666769               1.339
                  77             2.44346            0.642788             1.31822
                  78             2.47519            0.618159             1.29822
                  79             2.50693            0.592908               1.279
                  80             2.53866             0.56706             1.26059
                  81             2.57039            0.540641             1.24302
                  82             2.60213            0.513677             1.22629
                  83             2.63386            0.486197             1.21042
                  84             2.66559            0.458227             1.19543
                  85             2.69733            0.429795             1.18134
                  86             2.72906            0.400931             1.16816
                  87             2.76079            0.371662              1.1559
                  88             2.79253             0.34202             1.14458
                  89             2.82426            0.312033              1.1342
                  90             2.85599            0.281733             1.12478
                  91             2.88773            0.251148             1.11632
                  92             2.91946            0.220311             1.10884
                  93             2.95119            0.189251             1.10234
                  94             2.98293            0.158001             1.09683
                  95             3.01466            0.126592             1.09231
                  96             3.04639            0.095056              1.0888
                  97             3.07813           0.0634239             1.08628
                  98             3.10986           0.0317279             1.08477
                  99             3.14159                   0             1.08427
