            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.14134
                   0                   0                   0             3.14134
                   1           0.0317333           0.0317279             3.14084
                   2           0.0634665           0.0634239             3.13933
                   3           0.0951998            0.095056             3.13681
                   4            0.126933            0.126592              3.1333
                   5            0.158666            0.158001             3.12878
                   6              0.1904            0.189251             3.12327
                   7            0.222133            0.220311             3.11677
                   8            0.253866            0.251148             3.10929
                   9            0.285599            0.281733             3.10083
                  10            0.317333            0.312033             3.09141
                  11            0.349066             0.34202             3.08103
                  12            0.380799            0.371662             3.06971
                  13            0.412532            0.400931             3.05745
                  14            0.444266            0.429795             3.04427
                  15            0.475999            0.458227             3.03018
                  16            0.507732            0.486197             3.01519
                  17            0.539465            0.513677             2.99932
                  18            0.571199            0.540641             2.98259
                  19            0.602932             0.56706             2.96502
                  20            0.634665            0.592908             2.94661
                  21            0.666398            0.618159             2.92739
                  22            0.698132            0.642788             2.90738
                  23            0.729865            0.666769              2.8866
                  24            0.761598            0.690079             2.86507
                  25            0.793331            0.712694             2.84282
                  26            0.825065            0.734592             2.81985
                  27            0.856798             0.75575              2.7962
                  28            0.888531            0.776146             2.77189
                  29            0.920265            0.795762             2.74695
                  30            0.951998            0.814576              2.7214
                  31            0.983731             0.83257             2.69526
                  32             1.01546            0.849725             2.66857
                  33              1.0472            0.866025             2.64134
                  34             1.07893            0.881453             2.61361
                  35             1.11066            0.895994             2.58541
                  36              1.1424            0.909632             2.55676
                  37             1.17413            0.922354             2.52769
                  38             1.20586            0.934148             2.49823
                  39              1.2376            0.945001             2.46841
                  40             1.26933            0.954902             2.43826
                  41             1.30106            0.963842             2.40781
                  42              1.3328            0.971812              2.3771
                  43             1.36453            0.978802             2.34615
                  44             1.39626            0.984808             2.31499
                  45               1.428            0.989821             2.28366
                  46             1.45973            0.993838             2.25218
                  47             1.49146            0.996855             2.22059
                  48              1.5232            0.998867             2.18892
                  49             1.55493            0.999874             2.15721
                  50             1.58666            0.999874             2.12547
                  51              1.6184            0.998867             2.09376
                  52             1.65013            0.996855             2.06209
                  53             1.68186            0.993838              2.0305
                  54              1.7136            0.989821             1.99903
                  55             1.74533            0.984808             1.96769
                  56             1.77706            0.978802             1.93653
                  57              1.8088            0.971812             1.90558
                  58             1.84053            0.963842             1.87487
                  59             1.87226            0.954902             1.84442
                  60               1.904            0.945001             1.81427
                  61             1.93573            0.934148             1.78445
                  62             1.96746            0.922354               1.755
                  63              1.9992            0.909632             1.72593
                  64             2.03093            0.895994             1.69727
                  65             2.06266            0.881453             1.66907
                  66              2.0944            0.866025             1.64134
                  67             2.12613            0.849725             1.61411
                  68             2.15786             0.83257             1.58742
                  69             2.18959            0.814576             1.56128
                  70             2.22133            0.795762             1.53573
                  71             2.25306            0.776146             1.51079
                  72             2.28479             0.75575             1.48648
                  73             2.31653            0.734592             1.46283
                  74             2.34826            0.712694             1.43987
                  75             2.37999            0.690079             1.41761
                  76             2.41173            0.666769             1.39608
                  77             2.44346            0.642788              1.3753
                  78             2.47519            0.618159             1.35529
                  79             2.50693            0.592908             1.33607
                  80             2.53866             0.56706             1.31766
                  81             2.57039            0.540641             1.30009
                  82             2.60213            0.513677             1.28336
                  83             2.63386            0.486197             1.26749
                  84             2.66559            0.458227              1.2525
                  85             2.69733            0.429795             1.23841
                  86             2.72906            0.400931             1.22523
                  87             2.76079            0.371662             1.21297
                  88             2.79253             0.34202             1.20165
                  89             2.82426            0.312033             1.19127
                  90             2.85599            0.281733             1.18185
                  91             2.88773            0.251148             1.17339
                  92             2.91946            0.220311             1.16591
                  93             2.95119            0.189251             1.15941
                  94             2.98293            0.158001              1.1539
                  95             3.01466            0.126592             1.14939
                  96             3.04639            0.095056             1.14587
                  97             3.07813           0.0634239             1.14335
                  98             3.10986           0.0317279             1.14184
                  99             3.14159                   0             1.14134
