            Interval               Theta              Radial            Vertical
                   0                   0                   0             2.11466
                   0                   0                   0             2.11466
                   1           0.0317333           0.0317279             2.11415
                   2           0.0634665           0.0634239             2.11264
                   3           0.0951998            0.095056             2.11013
                   4            0.126933            0.126592             2.10661
                   5            0.158666            0.158001              2.1021
                   6              0.1904            0.189251             2.09659
                   7            0.222133            0.220311             2.09009
                   8            0.253866            0.251148             2.08261
                   9            0.285599            0.281733             2.07415
                  10            0.317333            0.312033             2.06473
                  11            0.349066             0.34202             2.05435
                  12            0.380799            0.371662             2.04303
                  13            0.412532            0.400931             2.03077
                  14            0.444266            0.429795             2.01758
                  15            0.475999            0.458227             2.00349
                  16            0.507732            0.486197             1.98851
                  17            0.539465            0.513677             1.97264
                  18            0.571199            0.540641             1.95591
                  19            0.602932             0.56706             1.93833
                  20            0.634665            0.592908             1.91993
                  21            0.666398            0.618159             1.90071
                  22            0.698132            0.642788              1.8807
                  23            0.729865            0.666769             1.85992
                  24            0.761598            0.690079             1.83839
                  25            0.793331            0.712694             1.81613
                  26            0.825065            0.734592             1.79317
                  27            0.856798             0.75575             1.76952
                  28            0.888531            0.776146             1.74521
                  29            0.920265            0.795762             1.72027
                  30            0.951998            0.814576             1.69471
                  31            0.983731             0.83257             1.66858
                  32             1.01546            0.849725             1.64188
                  33              1.0472            0.866025             1.61466
                  34             1.07893            0.881453             1.58693
                  35             1.11066            0.895994             1.55872
                  36              1.1424            0.909632             1.53007
                  37             1.17413            0.922354               1.501
                  38             1.20586            0.934148             1.47154
                  39              1.2376            0.945001             1.44173
                  40             1.26933            0.954902             1.41158
                  41             1.30106            0.963842             1.38113
                  42              1.3328            0.971812             1.35042
                  43             1.36453            0.978802             1.31946
                  44             1.39626            0.984808             1.28831
                  45               1.428            0.989821             1.25697
                  46             1.45973            0.993838              1.2255
                  47             1.49146            0.996855             1.19391
                  48              1.5232            0.998867             1.16224
                  49             1.55493            0.999874             1.13052
                  50             1.58666            0.999874             1.09879
                  51              1.6184            0.998867             1.06708
                  52             1.65013            0.996855             1.03541
                  53             1.68186            0.993838             1.00382
                  54              1.7136            0.989821            0.972342
                  55             1.74533            0.984808            0.941009
                  56             1.77706            0.978802            0.909851
                  57              1.8088            0.971812            0.878898
                  58             1.84053            0.963842            0.848183
                  59             1.87226            0.954902            0.817737
                  60               1.904            0.945001            0.787589
                  61             1.93573            0.934148            0.757771
                  62             1.96746            0.922354            0.728312
                  63              1.9992            0.909632            0.699242
                  64             2.03093            0.895994            0.670591
                  65             2.06266            0.881453            0.642386
                  66              2.0944            0.866025            0.614657
                  67             2.12613            0.849725            0.587432
                  68             2.15786             0.83257            0.560737
                  69             2.18959            0.814576              0.5346
                  70             2.22133            0.795762            0.509048
                  71             2.25306            0.776146            0.484105
                  72             2.28479             0.75575            0.459797
                  73             2.31653            0.734592            0.436148
                  74             2.34826            0.712694            0.413182
                  75             2.37999            0.690079            0.390923
                  76             2.41173            0.666769            0.369393
                  77             2.44346            0.642788            0.348613
                  78             2.47519            0.618159            0.328604
                  79             2.50693            0.592908            0.309387
                  80             2.53866             0.56706            0.290981
                  81             2.57039            0.540641            0.273404
                  82             2.60213            0.513677            0.256674
                  83             2.63386            0.486197            0.240808
                  84             2.66559            0.458227            0.225822
                  85             2.69733            0.429795            0.211731
                  86             2.72906            0.400931            0.198549
                  87             2.76079            0.371662            0.186289
                  88             2.79253             0.34202            0.174965
                  89             2.82426            0.312033            0.164586
                  90             2.85599            0.281733            0.155164
                  91             2.88773            0.251148            0.146709
                  92             2.91946            0.220311            0.139227
                  93             2.95119            0.189251            0.132729
                  94             2.98293            0.158001            0.127218
                  95             3.01466            0.126592            0.122702
                  96             3.04639            0.095056            0.119185
                  97             3.07813           0.0634239            0.116671
                  98             3.10986           0.0317279            0.115161
                  99             3.14159                   0            0.114657
