            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.01415
                   0                   0                   0             3.01415
                   1           0.0317333           0.0317279             3.01365
                   2           0.0634665           0.0634239             3.01214
                   3           0.0951998            0.095056             3.00962
                   4            0.126933            0.126592              3.0061
                   5            0.158666            0.158001             3.00159
                   6              0.1904            0.189251             2.99608
                   7            0.222133            0.220311             2.98958
                   8            0.253866            0.251148              2.9821
                   9            0.285599            0.281733             2.97364
                  10            0.317333            0.312033             2.96422
                  11            0.349066             0.34202             2.95384
                  12            0.380799            0.371662             2.94252
                  13            0.412532            0.400931             2.93026
                  14            0.444266            0.429795             2.91708
                  15            0.475999            0.458227             2.90298
                  16            0.507732            0.486197               2.888
                  17            0.539465            0.513677             2.87213
                  18            0.571199            0.540641              2.8554
                  19            0.602932             0.56706             2.83783
                  20            0.634665            0.592908             2.81942
                  21            0.666398            0.618159              2.8002
                  22            0.698132            0.642788             2.78019
                  23            0.729865            0.666769             2.75941
                  24            0.761598            0.690079             2.73788
                  25            0.793331            0.712694             2.71562
                  26            0.825065            0.734592             2.69266
                  27            0.856798             0.75575             2.66901
                  28            0.888531            0.776146              2.6447
                  29            0.920265            0.795762             2.61976
                  30            0.951998            0.814576             2.59421
                  31            0.983731             0.83257             2.56807
                  32             1.01546            0.849725             2.54137
                  33              1.0472            0.866025             2.51415
                  34             1.07893            0.881453             2.48642
                  35             1.11066            0.895994             2.45822
                  36              1.1424            0.909632             2.42956
                  37             1.17413            0.922354             2.40049
                  38             1.20586            0.934148             2.37104
                  39              1.2376            0.945001             2.34122
                  40             1.26933            0.954902             2.31107
                  41             1.30106            0.963842             2.28062
                  42              1.3328            0.971812             2.24991
                  43             1.36453            0.978802             2.21896
                  44             1.39626            0.984808              2.1878
                  45               1.428            0.989821             2.15646
                  46             1.45973            0.993838             2.12499
                  47             1.49146            0.996855              2.0934
                  48              1.5232            0.998867             2.06173
                  49             1.55493            0.999874             2.03002
                  50             1.58666            0.999874             1.99828
                  51              1.6184            0.998867             1.96657
                  52             1.65013            0.996855              1.9349
                  53             1.68186            0.993838             1.90331
                  54              1.7136            0.989821             1.87183
                  55             1.74533            0.984808              1.8405
                  56             1.77706            0.978802             1.80934
                  57              1.8088            0.971812             1.77839
                  58             1.84053            0.963842             1.74768
                  59             1.87226            0.954902             1.71723
                  60               1.904            0.945001             1.68708
                  61             1.93573            0.934148             1.65726
                  62             1.96746            0.922354              1.6278
                  63              1.9992            0.909632             1.59873
                  64             2.03093            0.895994             1.57008
                  65             2.06266            0.881453             1.54188
                  66              2.0944            0.866025             1.51415
                  67             2.12613            0.849725             1.48692
                  68             2.15786             0.83257             1.46023
                  69             2.18959            0.814576             1.43409
                  70             2.22133            0.795762             1.40854
                  71             2.25306            0.776146              1.3836
                  72             2.28479             0.75575             1.35929
                  73             2.31653            0.734592             1.33564
                  74             2.34826            0.712694             1.31267
                  75             2.37999            0.690079             1.29042
                  76             2.41173            0.666769             1.26888
                  77             2.44346            0.642788              1.2481
                  78             2.47519            0.618159              1.2281
                  79             2.50693            0.592908             1.20888
                  80             2.53866             0.56706             1.19047
                  81             2.57039            0.540641              1.1729
                  82             2.60213            0.513677             1.15617
                  83             2.63386            0.486197              1.1403
                  84             2.66559            0.458227             1.12531
                  85             2.69733            0.429795             1.11122
                  86             2.72906            0.400931             1.09804
                  87             2.76079            0.371662             1.08578
                  88             2.79253             0.34202             1.07446
                  89             2.82426            0.312033             1.06408
                  90             2.85599            0.281733             1.05466
                  91             2.88773            0.251148              1.0462
                  92             2.91946            0.220311             1.03872
                  93             2.95119            0.189251             1.03222
                  94             2.98293            0.158001             1.02671
                  95             3.01466            0.126592             1.02219
                  96             3.04639            0.095056             1.01868
                  97             3.07813           0.0634239             1.01616
                  98             3.10986           0.0317279             1.01465
                  99             3.14159                   0             1.01415
